"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-15",-8.65625,-5.125,-27.8636363636364,-13.037037037037,-3.41379310344828,2.53333333333333
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-16",0.862068965517241,-1.96551724137931,-4.42857142857143,-3.03846153846154,-0.96551724137931,0.363636363636364
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-17",5.62068965517241,2.12903225806452,17.2,2.35714285714286,-6.125,1.31034482758621
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-18",4.96551724137931,2.09677419354839,11.25,1.82142857142857,-2.9375,0.931034482758621
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-19",2.27586206896552,0.483870967741935,8.70588235294118,2.5,-2.09375,0.758620689655172
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-20",2.2,0.548387096774194,6.05263157894737,1.60714285714286,-1.375,0.571428571428571
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-21",-4.46875,-1.53125,-9.85714285714286,-2.67857142857143,-3.6875,1.71428571428571
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-22",-7.15625,-2.6875,-23.2608695652174,-8.32142857142857,-1.13793103448276,1.8
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-23",4.27586206896552,0.103448275862069,6.86363636363636,6.88461538461539,1.37931034482759,-0.416666666666667
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-24",-4.06896551724138,-0.645161290322581,-11,-1.89285714285714,-1.25,1.41379310344828
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-25",3.3448275862069,4.51612903225806,8.75,1.92857142857143,1,0.241379310344828
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-26",2.55172413793103,0.0967741935483871,10.7058823529412,1.60714285714286,0.6875,0.310344827586207
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-27",5.5,1.90322580645161,9.27777777777778,2.92857142857143,0.59375,0.103448275862069
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-28",2.7741935483871,2.1875,-7,2.71428571428571,0.0625,0.448275862068966
NA,NA,"Scotland",NA,NA,NA,NA,"2020-02-29",7,1.875,0.227272727272727,4.14814814814815,1.93103448275862,-0.0666666666666667
NA,NA,"Scotland",NA,NA,NA,NA,"2020-03-01",4.89655172413793,-0.448275862068966,-13.9565217391304,0.923076923076923,0.896551724137931,-0.166666666666667
NA,NA,"Scotland",NA,NA,NA,NA,"2020-03-02",7.82758620689655,4.67741935483871,17.3333333333333,5.25,0.5,0.103448275862069
NA,NA,"Scotland",NA,NA,NA,NA,"2020-03-03",8.44827586206897,4.16129032258065,23.4166666666667,3.53571428571429,1.21875,-0.275862068965517
NA,NA,"Scotland",NA,NA,NA,NA,"2020-03-04",9.13793103448276,5.96774193548387,23,4.92857142857143,0.625,-0.172413793103448
NA,NA,"Scotland",NA,NA,NA,NA,"2020-03-05",6.8,5.80645161290323,22.1176470588235,4.71428571428571,0.6875,0.0344827586206897
NA,NA,"Scotland",NA,NA,NA,NA,"2020-03-06",4.87096774193548,4.34375,21.9411764705882,5.03571428571429,0.4375,-0.137931034482759
NA,NA,"Scotland",NA,NA,NA,NA,"2020-03-07",2.0625,2.75,-0.272727272727273,2.66666666666667,1.10344827586207,0.266666666666667
NA,NA,"Scotland",NA,NA,NA,NA,"2020-03-08",8.44827586206897,1.89655172413793,19.7619047619048,12.5769230769231,1.75862068965517,-1
